TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins,TEAM FTA,TEAM FT_PCT,TEAM REB,TEAM AST,TEAM TOV,TEAM STL,TEAM PLUS_MINUS
Los Angeles Clippers,0.35437804878048784,21.365853658536587,2012-2013,56,23.024390243902438,0.717329268292683,41.6219512195122,23.878048780487806,14.597560975609756,9.560975609756097,6.451219512195122
Los Angeles Lakers,0.3534390243902439,24.573170731707318,2012-2013,45,27.914634146341463,0.6963536585365854,44.80487804878049,22.170731707317074,15.024390243902438,7.024390243902439,1.1585365853658536
Memphis Grizzlies,0.3409756097560976,13.5,2012-2013,56,21.29268292682927,0.7716219512195123,42.73170731707317,20.914634146341463,13.951219512195122,8.573170731707316,4.146341463414634
Miami Heat,0.39356097560975606,22.0609756097561,2012-2013,66,23.01219512195122,0.7590609756097562,38.609756097560975,23.048780487804876,13.939024390243903,8.658536585365853,7.865853658536586
Milwaukee Bucks,0.3557560975609756,20.365853658536587,2012-2013,38,20.73170731707317,0.7349878048780487,43.96341463414634,22.878048780487806,14.097560975609756,8.353658536585366,-1.5
Minnesota Timberwolves,0.30060975609756097,17.98780487804878,2012-2013,31,24.902439024390244,0.7429878048780487,42.02439024390244,22.390243902439025,14.804878048780488,8.536585365853659,-2.3658536585365852
New Orleans Hornets,0.35834146341463413,17.975609756097562,2012-2013,27,19.951219512195124,0.7798414634146342,41.63414634146341,20.98780487804878,14.548780487804878,6.341463414634147,-3.8658536585365852
New York Knicks,0.37320731707317073,28.914634146341463,2012-2013,54,21.085365853658537,0.7565121951219512,40.5609756097561,19.25609756097561,12.048780487804878,8.195121951219512,4.2317073170731705
Oklahoma City Thunder,0.3765731707317073,19.365853658536587,2012-2013,60,26.78048780487805,0.8289268292682926,43.646341463414636,21.378048780487806,15.28048780487805,8.28048780487805,9.207317073170731
Orlando Magic,0.32241463414634147,18.74390243902439,2012-2013,20,16.573170731707318,0.7605487804878049,42.707317073170735,22.817073170731707,14.524390243902438,6.439024390243903,-6.987804878048781
Philadelphia 76ers,0.3585609756097561,17.536585365853657,2012-2013,34,16.79268292682927,0.7236341463414634,41.329268292682926,22.76829268292683,13.048780487804878,7.426829268292683,-3.341463414634146
Phoenix Suns,0.3283170731707317,17.74390243902439,2012-2013,25,19.73170731707317,0.7455975609756098,41.6219512195122,22.621951219512194,15.585365853658537,8.036585365853659,-6.463414634146342
Portland Trail Blazers,0.351390243902439,23.21951219512195,2012-2013,33,20.48780487804878,0.7747560975609756,40.829268292682926,21.75609756097561,14.670731707317072,6.560975609756097,-3.1707317073170733
Sacramento Kings,0.35804878048780486,20.5,2012-2013,28,22.79268292682927,0.7655853658536586,40.58536585365854,20.829268292682926,14.621951219512194,8.182926829268293,-4.878048780487805
San Antonio Spurs,0.37720731707317073,21.51219512195122,2012-2013,58,21.036585365853657,0.7889634146341462,41.30487804878049,25.097560975609756,14.707317073170731,8.475609756097562,6.402439024390244
Toronto Raptors,0.3365487804878049,20.304878048780488,2012-2013,34,22.329268292682926,0.7853048780487805,40.207317073170735,21.524390243902438,13.707317073170731,7.2560975609756095,-1.475609756097561
Utah Jazz,0.35817073170731706,16.890243902439025,2012-2013,43,22.963414634146343,0.7592317073170731,42.02439024390244,22.670731707317074,14.75609756097561,8.414634146341463,-0.08536585365853659
Washington Wizards,0.3664756097560976,18.23170731707317,2012-2013,29,21.29268292682927,0.7402560975609757,43.15853658536585,21.646341463414632,15.097560975609756,7.2926829268292686,-2.5365853658536586
