season_year,personName,personId,plusMinusPoints,minutes,points,assists,fieldGoalsPercentage,performance_score
2023-24,Aaron Wiggins,1630598,-2,23.0,12.5,1.0,0.6875,12.1875
2023-24,Aaron Wiggins,1630598,0,20.0,7.0,1.0,0.5,8.5
2023-24,Aaron Wiggins,1630598,3,33.333333333333336,20.333333333333332,2.6666666666666665,0.46866666666666673,26.468666666666667
2023-24,Aaron Wiggins,1630598,5,22.0,4.0,5.0,0.333,14.333
2023-24,Aaron Wiggins,1630598,14,24.0,19.0,3.0,0.667,36.667
2023-24,Aaron Wiggins,1630598,16,26.0,15.0,2.0,0.75,33.75
2023-24,Aaron Wiggins,1630598,18,21.0,7.0,0.0,0.5,25.5
2023-24,Aaron Wiggins,1630598,22,25.0,8.0,1.0,0.5,31.5
2023-24,Adama Sanogo,1641766,11,35.0,22.0,0.0,0.444,33.444
2023-24,Al Horford,201143,-26,32.0,3.0,3.0,0.2,-19.8
2023-24,Al Horford,201143,-23,26.0,3.0,3.0,0.167,-16.833
2023-24,Al Horford,201143,-9,32.0,11.0,0.0,0.8,2.8000000000000007
2023-24,Al Horford,201143,-8,38.0,13.0,6.0,0.286,11.286000000000001
2023-24,Al Horford,201143,-7,25.0,8.0,2.0,0.75,3.75
2023-24,Al Horford,201143,-5,28.0,7.5,1.5,0.6335,4.6335
2023-24,Al Horford,201143,-3,22.0,11.0,2.0,0.8,10.8
2023-24,Al Horford,201143,-2,31.0,2.0,4.0,0.333,4.333
2023-24,Al Horford,201143,0,32.0,9.0,3.0,0.333,12.333
2023-24,Al Horford,201143,1,26.666666666666668,5.333333333333333,1.0,0.3,7.633333333333333
2023-24,Al Horford,201143,2,28.0,7.2,2.2,0.495,11.895
2023-24,Al Horford,201143,3,21.5,7.0,1.0,0.381,11.381
2023-24,Al Horford,201143,4,27.0,6.0,2.0,0.4,12.4
2023-24,Al Horford,201143,5,30.0,11.0,6.0,0.571,22.571
2023-24,Al Horford,201143,7,25.75,4.0,2.5,0.275,13.775
2023-24,Al Horford,201143,8,28.333333333333332,11.666666666666666,2.6666666666666665,0.5623333333333332,22.895666666666664
2023-24,Al Horford,201143,9,27.0,14.666666666666666,2.0,0.625,26.291666666666664
2023-24,Al Horford,201143,10,33.0,12.666666666666666,4.666666666666667,0.676,28.00933333333333
2023-24,Al Horford,201143,11,26.333333333333332,9.333333333333334,2.6666666666666665,0.7713333333333333,23.77133333333333
2023-24,Al Horford,201143,12,31.333333333333332,11.0,6.0,0.537,29.537
2023-24,Al Horford,201143,13,22.0,2.0,1.0,0.333,16.333
2023-24,Al Horford,201143,14,26.0,11.5,1.5,0.653,27.653
2023-24,Al Horford,201143,15,35.0,16.0,3.5,0.7855,35.2855
2023-24,Al Horford,201143,16,22.0,14.0,2.0,0.714,32.714
2023-24,Al Horford,201143,17,32.0,6.0,3.0,0.375,26.375
2023-24,Al Horford,201143,18,28.0,16.0,6.0,0.75,40.75
2023-24,Al Horford,201143,19,23.0,8.0,2.0,0.429,29.429000000000002
2023-24,Al Horford,201143,21,27.0,12.0,3.0,0.625,36.625
2023-24,Al Horford,201143,24,26.0,6.0,5.0,0.333,35.333
2023-24,Al Horford,201143,27,23.0,11.0,2.0,0.556,40.556
2023-24,Al Horford,201143,29,30.0,8.0,3.0,0.571,40.571
2023-24,Al Horford,201143,30,20.0,7.0,1.0,0.667,38.667
2023-24,Al Horford,201143,32,24.0,16.0,2.0,0.7,50.7
2023-24,Al Horford,201143,35,20.0,7.0,4.0,0.6,46.6
2023-24,Alec Burks,202692,-29,22.0,14.0,1.0,0.333,-13.667
2023-24,Alec Burks,202692,-28,30.0,13.0,0.0,0.313,-14.687
2023-24,Alec Burks,202692,-25,25.0,15.0,0.0,0.364,-9.636
2023-24,Alec Burks,202692,-16,23.0,16.0,5.0,0.333,5.332999999999998
2023-24,Alec Burks,202692,-15,24.666666666666668,12.666666666666666,1.0,0.3496666666666666,-0.983666666666668
2023-24,Alec Burks,202692,-13,20.0,6.0,1.0,0.2,-5.8
2023-24,Alec Burks,202692,-12,34.0,27.0,1.0,0.529,16.529
2023-24,Alec Burks,202692,-11,29.0,19.0,1.0,0.5,9.5
2023-24,Alec Burks,202692,-10,21.0,16.5,1.5,0.4225,8.4225
2023-24,Alec Burks,202692,-9,21.0,11.0,7.0,0.444,9.443999999999999
2023-24,Alec Burks,202692,-5,23.0,6.0,2.0,0.182,3.1820000000000004
2023-24,Alec Burks,202692,-4,21.0,22.0,1.0,0.5,19.5
2023-24,Alec Burks,202692,0,27.0,9.0,3.0,0.25,12.25
2023-24,Alec Burks,202692,2,29.0,11.0,6.0,0.6,19.6
2023-24,Alec Burks,202692,4,20.0,18.0,1.0,0.455,23.455
2023-24,Alec Burks,202692,5,25.0,15.0,1.0,0.364,21.364
2023-24,Alec Burks,202692,6,20.0,16.0,4.0,0.429,26.429
2023-24,Alec Burks,202692,9,22.5,10.0,1.0,0.3035,20.3035
