SEASON_YEAR,GAME_DATE,GAME_ID,TEAM_ID,TEAM_NAME,WL,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,TOV,STL,PLUS_MINUS
2014-15,2015-02-06T00:00:00,21400748,1610612747,Los Angeles Lakers,L,26,0.423,13,0.615,43,27,15.0,12,-6.0
2020-21,2021-04-29T00:00:00,22000948,1610612761,Toronto Raptors,L,32,0.5,18,0.833,36,27,16.0,10,-10.0
2020-21,2021-03-31T00:00:00,22000727,1610612761,Toronto Raptors,L,46,0.348,20,0.85,35,21,7.0,13,-10.0
2014-15,2015-04-12T00:00:00,21401199,1610612740,New Orleans Pelicans,L,27,0.407,22,0.682,39,22,11.0,6,-7.0
2014-15,2015-01-02T00:00:00,21400489,1610612764,Washington Wizards,L,21,0.524,15,0.867,39,27,15.0,3,-7.0
2014-15,2014-11-16T00:00:00,21400143,1610612748,Miami Heat,L,25,0.44,22,0.591,40,19,17.0,10,-7.0
2020-21,2021-05-13T00:00:00,22001052,1610612750,Minnesota Timberwolves,L,41,0.39,32,0.594,43,20,15.0,3,-11.0
2020-21,2021-04-07T00:00:00,22000781,1610612760,Oklahoma City Thunder,L,41,0.39,17,0.706,46,29,22.0,4,-11.0
2020-21,2021-02-26T00:00:00,22000506,1610612745,Houston Rockets,L,47,0.34,20,0.85,37,23,11.0,4,-11.0
2020-21,2021-02-02T00:00:00,22000559,1610612764,Washington Wizards,L,40,0.4,17,0.765,39,32,14.0,2,-11.0
2020-21,2020-12-30T00:00:00,22000058,1610612749,Milwaukee Bucks,L,41,0.39,13,0.923,47,26,13.0,14,-11.0
2020-21,2021-03-15T00:00:00,22000603,1610612764,Washington Wizards,L,38,0.421,24,0.75,33,34,14.0,5,-11.0
2020-21,2021-04-20T00:00:00,22000877,1610612766,Charlotte Hornets,L,39,0.41,8,0.375,39,26,13.0,6,-12.0
2020-21,2021-01-20T00:00:00,22000217,1610612754,Indiana Pacers,L,39,0.41,21,0.667,38,21,10.0,6,-12.0
2014-15,2014-12-07T00:00:00,21400294,1610612764,Washington Wizards,L,27,0.407,21,0.667,52,21,19.0,5,-8.0
2014-15,2015-03-07T00:00:00,21400927,1610612737,Atlanta Hawks,L,25,0.44,16,0.813,42,20,19.0,8,-8.0
2020-21,2021-04-17T00:00:00,22000859,1610612749,Milwaukee Bucks,L,47,0.34,27,0.778,45,27,16.0,7,-13.0
2020-21,2021-04-14T00:00:00,22000829,1610612766,Charlotte Hornets,L,44,0.364,12,0.5,38,23,13.0,8,-13.0
2020-21,2021-03-13T00:00:00,22000592,1610612743,Denver Nuggets,L,41,0.39,18,0.722,42,27,10.0,5,-13.0
2020-21,2020-12-28T00:00:00,22000044,1610612745,Houston Rockets,L,39,0.41,23,0.739,38,25,16.0,8,-13.0
2020-21,2021-05-03T00:00:00,22000980,1610612763,Memphis Grizzlies,L,41,0.39,24,0.833,46,26,12.0,7,-14.0
2020-21,2021-04-18T00:00:00,22000866,1610612742,Dallas Mavericks,L,48,0.333,20,0.65,42,15,14.0,3,-14.0
2014-15,2014-11-07T00:00:00,21400081,1610612743,Denver Nuggets,L,29,0.379,15,0.667,42,22,13.0,5,-9.0
2014-15,2015-03-11T00:00:00,21400953,1610612755,Philadelphia 76ers,L,41,0.268,25,0.48,55,16,10.0,12,-9.0
2014-15,2015-04-11T00:00:00,21401192,1610612750,Minnesota Timberwolves,L,24,0.458,26,0.769,40,27,15.0,9,-9.0
2020-21,2021-05-16T00:00:00,22001071,1610612742,Dallas Mavericks,L,38,0.421,20,0.85,38,32,16.0,5,-15.0
2014-15,2015-01-07T00:00:00,21400525,1610612752,New York Knicks,L,26,0.423,16,0.75,41,18,15.0,11,-10.0
2014-15,2015-04-06T00:00:00,21400668,1610612757,Portland Trail Blazers,L,26,0.423,9,0.778,50,17,14.0,4,-10.0
2014-15,2014-11-30T00:00:00,21400243,1610612765,Detroit Pistons,L,23,0.478,24,0.667,44,25,13.0,11,-11.0
2014-15,2015-02-26T00:00:00,21400854,1610612744,Golden State Warriors,L,29,0.379,19,0.526,44,32,14.0,10,-11.0
2014-15,2015-01-15T00:00:00,21400584,1610612760,Oklahoma City Thunder,L,29,0.379,28,0.714,43,25,17.0,8,-11.0
2014-15,2015-04-14T00:00:00,21401216,1610612756,Phoenix Suns,L,26,0.423,20,0.6,39,25,15.0,8,-11.0
2014-15,2014-11-03T00:00:00,21400043,1610612755,Philadelphia 76ers,L,22,0.5,23,0.696,31,19,18.0,12,-11.0
2014-15,2015-02-06T00:00:00,21400750,1610612755,Philadelphia 76ers,L,25,0.44,31,0.484,44,22,17.0,6,-11.0
2020-21,2020-12-26T00:00:00,22000026,1610612741,Chicago Bulls,L,39,0.41,25,0.88,41,23,20.0,7,-19.0
2020-21,2021-05-06T00:00:00,22000434,1610612766,Charlotte Hornets,L,35,0.457,18,0.389,45,29,15.0,11,-21.0
2014-15,2014-11-09T00:00:00,21400095,1610612744,Golden State Warriors,L,24,0.458,21,0.857,36,16,27.0,9,-12.0
2014-15,2015-04-12T00:00:00,21401197,1610612760,Oklahoma City Thunder,L,28,0.393,28,0.393,43,18,8.0,5,-12.0
2020-21,2021-01-29T00:00:00,22000295,1610612760,Oklahoma City Thunder,L,38,0.421,34,0.853,36,23,12.0,4,-22.0
2014-15,2015-01-31T00:00:00,21400709,1610612745,Houston Rockets,L,32,0.344,19,0.632,39,23,14.0,10,-13.0
2014-15,2015-03-27T00:00:00,21401077,1610612748,Miami Heat,L,35,0.314,15,0.733,41,20,19.0,9,-13.0
2014-15,2014-11-15T00:00:00,21400141,1610612756,Phoenix Suns,L,30,0.367,23,0.87,43,26,10.0,9,-13.0
2020-21,2021-03-24T00:00:00,22000672,1610612745,Houston Rockets,L,49,0.327,22,0.682,39,24,7.0,6,-25.0
2020-21,2021-03-14T00:00:00,22000598,1610612745,Houston Rockets,L,50,0.32,31,0.677,37,23,11.0,8,-27.0
2014-15,2014-11-17T00:00:00,21400150,1610612765,Detroit Pistons,L,24,0.458,24,0.75,41,17,14.0,5,-14.0
2014-15,2015-01-14T00:00:00,21400580,1610612738,Boston Celtics,L,33,0.333,14,0.857,40,22,17.0,5,-14.0
2014-15,2015-03-16T00:00:00,21400995,1610612739,Cleveland Cavaliers,L,33,0.333,27,0.778,32,17,14.0,8,-14.0
2020-21,2021-04-27T00:00:00,22000932,1610612744,Golden State Warriors,L,43,0.372,24,0.792,43,25,18.0,11,-30.0
2014-15,2015-02-25T00:00:00,21400847,1610612755,Philadelphia 76ers,L,25,0.44,19,0.789,38,21,28.0,13,-16.0
2014-15,2015-03-20T00:00:00,21401030,1610612740,New Orleans Pelicans,L,22,0.5,22,0.864,42,22,21.0,4,-16.0
2014-15,2014-12-12T00:00:00,21400332,1610612755,Philadelphia 76ers,L,28,0.393,20,0.75,37,18,24.0,10,-18.0
2014-15,2015-01-11T00:00:00,21400561,1610612739,Cleveland Cavaliers,L,32,0.344,12,0.583,41,18,14.0,2,-19.0
2014-15,2015-03-27T00:00:00,21401075,1610612755,Philadelphia 76ers,L,31,0.355,27,0.556,40,17,15.0,11,-21.0
2014-15,2015-01-08T00:00:00,21400536,1610612752,New York Knicks,L,26,0.423,21,0.524,38,22,21.0,12,-24.0
2022-23,2022-10-22T00:00:00,22200032,1610612739,Cleveland Cavaliers,W,27,0.593,18,0.889,48,32,18.0,4,32.0
2022-23,2022-11-04T00:00:00,22200125,1610612763,Memphis Grizzlies,W,36,0.444,18,0.778,60,34,19.0,6,31.0
2022-23,2022-11-29T00:00:00,22200309,1610612752,New York Knicks,W,35,0.457,21,0.762,51,31,14.0,9,30.0
2022-23,2023-01-16T00:00:00,22200663,1610612763,Memphis Grizzlies,W,37,0.432,20,0.8,51,29,11.0,8,30.0
2022-23,2023-01-05T00:00:00,22200577,1610612738,Boston Celtics,W,43,0.372,31,0.839,52,29,11.0,6,29.0
2022-23,2022-12-07T00:00:00,22200373,1610612738,Boston Celtics,W,45,0.356,13,0.846,53,29,13.0,14,27.0
2022-23,2022-10-24T00:00:00,22200051,1610612757,Portland Trail Blazers,W,35,0.457,31,0.742,45,23,10.0,3,25.0
2022-23,2023-03-22T00:00:00,22201087,1610612755,Philadelphia 76ers,W,37,0.432,26,0.846,44,30,18.0,9,25.0
2022-23,2022-10-21T00:00:00,22200023,1610612752,New York Knicks,W,38,0.421,22,0.636,50,29,12.0,4,24.0
2022-23,2022-11-30T00:00:00,22200323,1610612758,Sacramento Kings,W,43,0.372,29,0.862,58,28,18.0,8,23.0
2022-23,2022-11-07T00:00:00,22200157,1610612762,Utah Jazz,W,38,0.421,22,0.773,41,30,15.0,10,23.0
2022-23,2022-10-28T00:00:00,22200073,1610612755,Philadelphia 76ers,W,38,0.421,11,0.909,41,25,15.0,11,22.0
2022-23,2023-04-07T00:00:00,22201211,1610612744,Golden State Warriors,W,36,0.444,24,0.875,47,36,24.0,6,22.0
2022-23,2023-01-30T00:00:00,22200760,1610612764,Washington Wizards,W,30,0.533,17,0.882,45,32,14.0,7,21.0
2022-23,2023-02-28T00:00:00,22200926,1610612743,Denver Nuggets,W,37,0.432,16,0.688,43,40,11.0,8,21.0
2022-23,2022-10-19T00:00:00,22200012,1610612762,Utah Jazz,W,38,0.421,31,0.742,43,27,20.0,10,21.0
2022-23,2022-10-22T00:00:00,22200033,1610612749,Milwaukee Bucks,W,31,0.516,21,0.619,47,29,16.0,6,20.0
2022-23,2023-01-18T00:00:00,22200674,1610612760,Oklahoma City Thunder,W,38,0.421,21,0.762,42,41,19.0,12,20.0
2022-23,2022-12-13T00:00:00,22200409,1610612755,Philadelphia 76ers,W,35,0.457,27,0.778,42,34,12.0,10,20.0
2022-23,2022-11-11T00:00:00,22200176,1610612738,Boston Celtics,W,37,0.432,20,0.75,46,30,7.0,3,19.0
2022-23,2023-01-28T00:00:00,22200744,1610612741,Chicago Bulls,W,35,0.457,19,0.842,38,30,12.0,5,19.0
2022-23,2023-02-06T00:00:00,22200815,1610612749,Milwaukee Bucks,W,42,0.381,21,0.81,55,27,16.0,4,19.0
2022-23,2022-11-25T00:00:00,22200275,1610612738,Boston Celtics,W,37,0.432,27,0.889,38,27,10.0,9,18.0
2022-23,2023-01-23T00:00:00,22200710,1610612762,Utah Jazz,W,40,0.4,26,0.846,46,25,16.0,8,18.0
